"study_id" "identifier" "therapeutic_area" "type" "route_of_administration" "species" "duration" "dose" "pre_treatment" "dose_interval" "dose_lethality" "noael" "noael_sex" "adverse_findings" "body_weight" "body_weight_gain" "death_diagnosis" "neurological_clinical_signs" "git_clinical_signs" "other_clinical_signs" "lab_measurements" "macroscopic" "macroscopic_target" "pathology" "organ_weight" "organ_weight_target" "cardiovascular_effects"
"1" "Study 1" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 39 "0" "NA" "bi weekly" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"2" "Study 1" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 39 "5" "NA" "bi weekly" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"3" "Study 1" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 39 "25" "NA" "bi weekly" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"4" "Study 1" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 39 "100" "NA" "bi weekly" "NA" "yes" "both" "no" "no" "yes-decrease-na" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"5" "Study 2" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 26 "0" "NA" "bi weekly" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"6" "Study 2" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 26 "2.5" "NA" "bi weekly" "NA" "no" "NA" "no" "yes-fluctuations-na" "yes-marked-decrease-r" "no" "yes-hypoactivity-r, yes-abnormal posture-r" "yes-salivation-r" "yes-morbidity-r, yes-skin lesions-r, yes-partially closed or closed eyes-r" "yes-r" "yes-skin thickening-r, yes-skin lesions-r" "injection site,injection site" "yes" "no" "no" "no"
"7" "Study 2" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 26 "8" "NA" "bi weekly" "NA" "no" "NA" "no" "yes-fluctuations-na" "yes-marked-decrease-r" "no" "yes-hypoactivity-r, yes-abnormal posture-r" "yes-salivation-r" "yes-morbidity-r, yes-skin lesions-r, yes-partially closed or closed eyes-r" "yes-r" "yes-skin thickening-r, yes-skin lesions-r" "injection site,injection site" "yes" "no" "no" "no"
"8" "Study 2" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "rat" 26 "25" "NA" "bi weekly" "NA" "yes" "both" "no" "yes-decrease-na" "yes-marked-decrease-r, yes-marked-increase-ap_r" "no" "yes-hypoactivity-r, yes-abnormal posture-r" "yes-salivation-r" "yes-morbidity-r, yes-skin lesions-r, yes-partially closed or closed eyes-r" "yes-nr" "yes-skin thickening-nr, yes-skin lesions-nr" "injection site,injection site" "yes" "no" "no" "no"
"9" "Study 3" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 26 "0" "NA" "bi weekly" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"10" "Study 3" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 26 "5" "NA" "bi weekly" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "yes-skin thickening-r, yes-skin lesions-r" "injection site,injection site" "yes" "no" "no" "no"
"11" "Study 3" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 26 "25" "NA" "bi weekly" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "yes-skin thickening-r, yes-skin lesions-r" "injection site,injection site" "yes" "no" "no" "no"
"12" "Study 3" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "cynomolgus" 26 "100" "NA" "bi weekly" "NA" "yes" "both" "no" "no" "no" "no" "no" "no" "no" "no" "yes-skin thickening-r, yes-skin lesions-r" "injection site,injection site" "yes" "no" "no" "no"
"13" "Study 4" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "mouse" 16 "0" "NA" "bi weekly" "NA" "no" "NA" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no" "no"
"14" "Study 4" "Compound 1" "Cardiovascular and Metabolism" "sm" "subcutaneous" "mouse" 16 "10" "NA" "bi weekly" "NA" "no" "NA" "no" "yes-fluctuations-r" "no" "no" "no" "no" "no" "no" "no" "no" "yes" "no" "no" "no"
