"identifier" "study_id" "species" "duration" "dose" "dose_interval" "target_organ" "description" "adverse" "reversible" "extra_info"
"1" "Compound 1" "Study 2" "rat" 26 "2.5" "bi weekly" "gland,brunner's" "atrophy" "no" "r" "NA"
"2" "Compound 1" "Study 2" "rat" 26 "8" "bi weekly" "gland,brunner's" "atrophy" "no" "r" "NA"
"3" "Compound 1" "Study 2" "rat" 26 "25" "bi weekly" "gland,brunner's" "atrophy" "no" "r" "NA"
"4" "Compound 1" "Study 2" "rat" 26 "2.5" "bi weekly" "injection site" "inflammation, mild-fibrosis" "no" "r" "NA"
"5" "Compound 1" "Study 2" "rat" 26 "8" "bi weekly" "injection site" "inflammation, mild-fibrosis" "no" "r" "NA"
"6" "Compound 1" "Study 2" "rat" 26 "25" "bi weekly" "injection site" "inflammation, mild-fibrosis" "no" "r" "NA"
"7" "Compound 1" "Study 3" "cynomolgus" 26 "5" "bi weekly" "injection site" "marked-inflammation,fibrosis, collagen degradation, edema,necrosis, hemorrhage" "no" "r" "NA"
"8" "Compound 1" "Study 3" "cynomolgus" 26 "25" "bi weekly" "injection site" "marked-inflammation,fibrosis, collagen degradation, edema,necrosis, hemorrhage" "no" "r" "NA"
"9" "Compound 1" "Study 3" "cynomolgus" 26 "100" "bi weekly" "injection site" "marked-inflammation,fibrosis, collagen degradation, edema,necrosis, hemorrhage" "no" "r" "NA"
"10" "Compound 1" "Study 4" "mouse" 16 "10" "bi weekly" "injection site" "mild-inflammation, mild-infiltrate" "no" "NA" "NA"
"11" "Compound 1" "Study 4" "mouse" 16 "25" "bi weekly" "injection site" "mild-inflammation, mild-infiltrate" "no" "NA" "NA"
"12" "Compound 1" "Study 4" "mouse" 16 "50" "bi weekly" "injection site" "mild-inflammation, mild-infiltrate" "no" "NA" "NA"
"13" "Compound 1" "Study 5" "rat" 6 "5" "bi weekly" "injection site" "eosinophilic material in the subcutis, necrosis, edema, collagen degradation, inflammation, infiltrate" "no" "tr" "NA"
"14" "Compound 1" "Study 5" "rat" 6 "10" "bi weekly" "injection site" "eosinophilic material in the subcutis, necrosis, edema, collagen degradation, inflammation, infiltrate" "no" "tr" "NA"
"15" "Compound 1" "Study 5" "rat" 6 "25" "bi weekly" "injection site" "eosinophilic material in the subcutis, necrosis, edema, collagen degradation, inflammation, infiltrate" "no" "tr" "NA"
"16" "Compound 1" "Study 6" "cynomolgus" 6 "10" "bi weekly" "injection site" "eosinophilic material in the subcutis granulomatous inflammation" "no" "NA" "NA"
"17" "Compound 1" "Study 6" "cynomolgus" 6 "25" "bi weekly" "injection site" "eosinophilic material in the subcutis, granulomatous inflammation" "no" "NA" "NA"
"18" "Compound 1" "Study 6" "cynomolgus" 6 "50" "bi weekly" "injection site" "eosinophilic material in the subcutis, granulomatous inflammation" "no" "NA" "NA"
"19" "Compound 3" "Study 13" "rat" 26 "25" "day" "liver" "hepatocyte  hypertrophy" "no" "r" "NA"
"20" "Compound 3" "Study 13" "rat" 26 "100" "day" "liver" "hepatocyte  hypertrophy" "no" "r" "NA"
"21" "Compound 3" "Study 13" "rat" 26 "100" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"22" "Compound 3" "Study 13" "rat" 26 "100" "day" "kidney" "increased pigmentation" "no" "r" "NA"
"23" "Compound 3" "Study 14" "rat" 13 "100" "day" "liver" "minimal-hepatocyte hypertrophy" "no" "r" "NA"
"24" "Compound 3" "Study 14" "rat" 13 "100" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"25" "Compound 3" "Study 16" "cynomolgus" 4 "5" "day" "adrenal gland" "mild-cortical vacuolation" "no" "NA" "NA"
"26" "Compound 3" "Study 16" "cynomolgus" 4 "20" "day" "adrenal gland" "mild-cortical vacuolation" "no" "NA" "NA"
"27" "Compound 3" "Study 16" "cynomolgus" 4 "100" "day" "adrenal gland" "mild-cortical vacuolation" "no" "NA" "NA"
"28" "Compound 4" "Study 17" "cynomolgus" 39 "300" "day" "spleen" "mild-lymphoid depletion" "no" "r" "NA"
"29" "Compound 4" "Study 18" "rat" 26 "150 male / 30 female" "day" "liver" "hepatocyte hypertrophy" "no" "r" "NA"
"30" "Compound 4" "Study 18" "rat" 26 "150 male / 30 female" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"31" "Compound 4" "Study 18" "rat" 26 "300 male/ 60 female" "day" "liver" "hepatocyte hypertrophy" "no" "r" "NA"
"32" "Compound 4" "Study 18" "rat" 26 "300 male/ 60 female" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
"33" "Compound 4" "Study 19" "rat" 8 "400 male/ 150 female" "day" "thyroid gland" "follicular hypertrophy" "no" "r" "NA"
